model_mode,num_clips,mean_future_mse,mean_future_mae,mean_future_psnr,mean_future_global_ssim,mean_context_mse,mean_context_psnr,mean_generated_future_laplacian_sharpness,mean_sharpness_ratio_generated_over_reference,mean_fft_high_frequency_energy_ratio_generated_over_reference,mean_motion_ratio_generated_over_reference,mean_low_frequency_motion_ratio_generated_over_reference,mean_temporal_delta_error_mae,mean_low_frequency_temporal_delta_error_mae,mean_boundary_mae_ratio_generated_over_reference,mean_copy_leakage_ratio_min_context_over_future
v4_main_text_r128_partial_step000000,5,2331.06994934082,26.610507106781007,17.19536717050702,0.6979664803651352,53.952660751342776,31.477809450073977,84.53513164520264,0.3723981908681938,0.9906130909506313,0.7265057150791951,0.7213945546686166,9.381512117385864,9.386698818206787,0.589088654556471,1.0781840396484865
v4_main_text_r128_partial_step000100,5,2320.8278564453126,26.59346208572388,17.225625973042536,0.6993195766504079,53.965121841430665,31.475964521633035,83.52495441436767,0.369526543996339,0.9993350070093608,0.7194557430255308,0.7147672173494148,9.327488279342651,9.327949285507202,0.5887320899167251,1.0824475534013027
v4_main_text_r128_partial_step000250,5,2330.1107696533204,26.62800178527832,17.21056710760671,0.6987410495938784,53.9704402923584,31.47605116434338,83.52507343292237,0.36835141671054006,0.9860303625456728,0.7209133147907322,0.7165616509377186,9.335020875930786,9.33677716255188,0.5843932551405899,1.079799110563639
v4_main_text_r128_partial_step000500,5,2324.993615722656,26.606808280944826,17.222211407494363,0.6993479260983174,53.9012996673584,31.483213831785566,82.31033725738526,0.3636502003254076,0.9922885480732075,0.7170690784020215,0.7123254153068378,9.31725254058838,9.318935441970826,0.5957696857679691,1.0817535645115424
v4_main_text_r128_partial_step000750,5,2329.966256713867,26.58561315536499,17.217707600867936,0.6985880873965307,53.88409996032715,31.483749250917775,82.7364854812622,0.3647545950716714,0.9812127945859478,0.7215200956113749,0.7167073981606475,9.349783086776734,9.35425944328308,0.6083409975398753,1.078076606877194
v4_main_text_r128_partial_step001000,5,2319.192041015625,26.600052642822266,17.22999435292996,0.7000909962088843,53.92434577941894,31.476095219762225,81.91306571960449,0.3622536493887026,0.9948682236111827,0.7175221503959456,0.7130011244663784,9.31641902923584,9.316739702224732,0.6094357244829303,1.0812328707424652
v4_main_text_r128_partial_step001500,5,2318.0527160644533,26.493183040618895,17.25149376189718,0.6993720557876886,53.822021484375,31.485922877158732,81.37574138641358,0.35975274767691806,0.9744168051957921,0.7180910136824092,0.7131865822143836,9.320283794403077,9.321163892745972,0.6097875303385576,1.0797367238655027
v4_main_text_r128_partial_step002000,5,2310.030563354492,26.411315822601317,17.26722933036499,0.6998408324003081,53.83894729614258,31.484283290479386,80.98618583679199,0.3580263196374295,0.9743041399918402,0.7128026250610029,0.7078774231393866,9.304356145858765,9.309013414382935,0.6143706900195139,1.0800555442331325
v4_main_text_r128_partial_step002500,5,2307.6499084472657,26.384943199157714,17.27044712104287,0.6999849099829729,53.84129676818848,31.48325907380805,80.97387733459473,0.35714282785655505,0.9701205636423879,0.7143901065459708,0.7090881908731458,9.310858488082886,9.311274433135987,0.6208212688276482,1.080980862326155
v4_main_text_r128_partial_step003000,5,2305.6576446533204,26.36220474243164,17.278892282215004,0.7003187819194886,53.84101181030273,31.4845304838719,80.88523998260499,0.3565277245004444,0.9701400107503619,0.7137548037085031,0.7088783650351556,9.312305927276611,9.316418218612672,0.626776000457624,1.081770430542654
v4_main_text_r128_partial_step004000,5,2307.7272613525392,26.382957172393798,17.275527361867347,0.7004593773916884,53.849627304077146,31.48373444855231,80.7096160888672,0.35631691276464794,0.9723996296955452,0.7114344609747831,0.7064869626989181,9.298915004730224,9.301181030273437,0.6157832844707658,1.0809151341855954
v4_main_text_r128_partial_step005000,5,2310.13649597168,26.417007064819337,17.268938647776046,0.7003700210266439,53.81874237060547,31.488002028813877,81.17640419006348,0.35865106710492023,0.9734085422963453,0.7117168931010729,0.7067465642797843,9.288988494873047,9.28745059967041,0.61402094810241,1.0809758459169891
v4_main_text_r128_partial_step006000,5,2294.7707611083983,26.373316860198976,17.285729034937816,0.7018055805531824,53.87564697265625,31.481327132331227,80.00085391998292,0.35404903301776935,0.9820991339981177,0.7076228324860715,0.7024821265181044,9.24895157814026,9.241782855987548,0.6200640717808256,1.0853176118986332
v4_main_text_r128_partial_step007000,5,2285.9342651367188,26.33530263900757,17.290751824979218,0.7022144783353446,53.890525817871094,31.479957793250502,79.33513374328614,0.35159743794324594,0.9750093618604645,0.706848865930026,0.7017310151206274,9.24659857749939,9.240034294128417,0.621971562841005,1.084331035177131
v4_main_text_r128_partial_step007992,5,2306.1787048339843,26.371138763427734,17.28224704387628,0.7007106483200587,53.784624099731445,31.490370447737757,80.61892776489258,0.3562575592864155,0.972528024769562,0.7122127179075213,0.707582540306545,9.298815202713012,9.30340747833252,0.6315924426669318,1.0812891354986092
